Nazwa;Kcal;Wêglowodany;Bia³ko;T³uszcz
Jogurt truskawkowy 15 %;60;8.2;3.7;1.5
Jogurt truskawkowy 15%;60;8.2;3.7;1.5
Jogurt wiœniowy 15 %;61;8.2;3.7;1.5
Kabanosy;326;0;27.4;24.3
Kabanosy z kurczaka;247;0.1;22.8;17.4
Kaczka tuszka;308;0;13.5;28.6
Kakao w proszku 16 %;448;50.6;18.2;21.7
Kalafior;22;5;2.4;0.2
Kalafior mro¿ony;20;4.5;2.2;0.2
Kalafior z wody;33;5.5;2;6.8
Kalarepa;29;6.5;2.2;0.3
Kapusta bia³a;29;7.4;1.7;0.2
Kapusta bia³a zasma¿ana;69;7.2;1.6;4.7
Kapusta czerwona;27;6.7;1.9;0.2
Kapusta kwaszona;12;3.4;1.1;0.2
Kapusta pekiñska;12;3.2;1.2;0.2
Kapusta w³oska;38;7.8;3.3;0.4
Kapuœniak z kapusty kwaszonej;21;1.6;1.4;1.2
Kapuœniak z kapusty s³odkiej;31;3.2;0.7;2.1
Karmelki nadziewane;378;92;0.3;0.5
Karmelki twarde;399;98.2;0;0
Karp œwie¿y;110;0;18;4.2
Karp w galarecie z warzywami;137;2.1;26.1;2.9
Karp z wody;102;2;16;3.7
Karpatka - ciastko;449;39.1;4.7;30.9
Kasza gryczana;336;69.3;12.6;3.1
Kasza gryczana na sypko;132;25;4.5;2.3
Kasza jaglana;346;71.6;10.5;2.9
Kasza jêczmienna na mleku;63;8.5;2.6;2.2
Kasza jêczmienna per³owa;327;75;6.9;2.2
Kasza jêczmienna pêczak;334;74.9;8.4;2
Kasza manna;348;76.7;8.7;1.3
Kasza manna na mleku;67;9.3;2.7;2.1
Kasza manna na wywarze jarzynowym;21;3.4;0.5;0.8
Kasza per³owa na sypko;115;23.6;2.2;2
Kaszanka z kurczaka;204;16.4;9.8;11.7
Kawa bez cukru;2;0.3;0.2;0
Kefir 2 %;51;4.7;3.4;2
Kefir 2%;51;4.7;3.4;2
Keks bakaliowy;384;53.5;6.4;17.6
Ketchup;93;22.2;1.8;1
Kie³basa ja³owcowa z kurczaka;236;0.1;19;17.9
Kie³basa krakowska sucha;323;0;25.6;24.8
Kie³basa mazurska z indyka;129;0.1;14.8;7.7
Kie³basa mortadela;205;0;12;17.7
Kie³basa myœliwska sucha;291;0;27.8;20.1
Kie³basa parówkowa;323;0;11;31.5
Kie³basa podlaska z kurczaka;232;0.1;20.7;16.7
Kie³basa podsuszana z kurczaka;162;0;21.7;8.4
Kie³basa podwawelska;247;0.9;17.3;19.6
Kie³basa szynkowa z indyka;88;0.2;17.2;2
Kie³basa szynkowa z kurczaka;110;0;16.2;5
Kie³basa œl¹ska;210;0;18.4;15.3
Kie³basa toruñska;263;0;20.9;20.1
Kie³basa zwyczajna;209;0;17.6;15.6
Kie³basa ¿ywiecka;315;0;20.3;26.3
Kisiel porzeczkowy;88;23.3;0.3;0.1
Kisiel waniliowy;121;16.6;3.3;4.5
Kiszka kaszana jêczmienna;194;13;8.5;12.6
Kiszka krwista;404;9.2;14.2;35
Kiszka pasztetowa;384;4.3;12.5;35.7
Kiwi;56;13.9;0.9;0.5
Kiwi d¿em niskos³odzony;154;37.8;0.4;0.2
Klopsiki cielêce mielone;250;14.3;16.2;14.6
Klopsiki mielone z miêsa mieszanego;272;15.9;13.5;17.5
Kluski k³adzione;165;33.8;5.1;1.3
Kluski lane;93;14.9;4.1;2
Kluski lane na mleku;70;6.8;3.6;3.1
Kluski œl¹skie;169;32.1;2.6;3.8
Knedle ze œliwkami;161;25.8;2.7;5.9
Kompot z jab³ek;51;13.2;0.2;0.1
Kompot z wiœni;69;16.9;0.2;0.1
Koncentrat pomidorowy 30 %;92;16.7;5.6;1.5
Koper;26;6.1;2.8;0.4
Kopytka;143;31.2;4;0.7
Kotlet cielêcy panierowany;365;17.4;27.1;21.3
Kotlet mielony z miêsa mieszanego;284;11.8;13;21.1
Kotlet schabowy panierowany;351;15.9;19;24.1
Kotlet z kurczaka sma¿ony panierowany;248;7.6;19.7;15.7
Kotlet z kurczaka sma¿ony saute;241;3.3;20.3;16.5
Kotlet z kury mielony;382;14.3;19.9;27.8
Kotlety z jaj;275;10.8;7.9;22.7
Kotlety ziemniaczane;241;29.3;4.3;12.8
Krem z zielonego groszku;63;5.9;3.1;3.8
Królik tuszka;156;0;21;8
Krupnik z kaszy gryczanej;43;7.2;1.7;1.2
Krupnik z kaszy jêczmiennej;40;7.4;1.5;0.9
Krupnik z ry¿u;43;7.6;1.5;1.1
Kukurydza;110;23.4;3.7;1.5
Kukurydza konserwowa;102;23.6;2.9;1.2
Kulebiak;222;20.1;7.6;12.7
Kura tuszka;202;0;18.5;14.3
Kura w galarecie;192;1.2;27.3;8.9
Kurczak faszerowany pieczony;199;2.8;20.5;11.9
Kurczak gotowany w jarzynach;99;4.6;7.6;6.4
Kurczak miêso z piersi bez skóry;99;0;21.5;1.3
Kurczak miêso z uda ze skór¹;158;0;16.8;10.2
Kurczak pieczony;179;0.1;16.4;12.7
Kurczak skrzyd³o;186;0;19.2;12.2
Kurczak tuszka;158;0;18.6;9.3
Kurczak w¹troba;136;0.6;19.1;6.3
Kurczak ¿o³¹dek;114;0.6;18.2;4.2
Lody mleczno-owocowe;116;19.4;3.9;2.5
Lody œmietankowe;160;17.6;3.2;8.5
£osoœ sma¿ony saute;379;4.1;21.1;31.4
£osoœ œwie¿y;201;0;19.9;13.6
£osoœ wêdzony;162;0;21.5;8.4
£osoœ z rusztu;283;0.6;20.7;22.3
Majonez z olejem rzepakowym;714;2.6;1.3;79
Majonez z olejem s³onecznikowym;714;2.6;1.3;79
Mak niebieski;478;24.7;20.1;42.9
Makaron bezjajeczny;363;78.5;10;1.6
